"date","beat_start_time","consumption_kWh"
"18/12/2023","10:15",.004
"18/12/2023","10:30",.136
"18/12/2023","10:45",.077
"18/12/2023","11:00",.046
"18/12/2023","11:15",.057
"18/12/2023","11:30",.055
"18/12/2023","11:45",.049
"18/12/2023","12:00",.052
"18/12/2023","12:15",.061
"18/12/2023","12:30",.041
"18/12/2023","12:45",.04
"18/12/2023","13:00",.058
"18/12/2023","13:15",.035
"18/12/2023","13:30",.031
"18/12/2023","13:45",.039
"18/12/2023","14:00",.044
"18/12/2023","14:15",.076
"18/12/2023","14:30",.04
"18/12/2023","14:45",.085
"18/12/2023","15:00",.08
"18/12/2023","15:15",.081
"18/12/2023","15:30",.094
"18/12/2023","15:45",.092
"18/12/2023","16:00",.119
"18/12/2023","16:15",.462
"18/12/2023","16:30",.827
"18/12/2023","16:45",.797
"18/12/2023","17:00",.221
"18/12/2023","17:15",.377
"18/12/2023","17:30",.255
"18/12/2023","17:45",.139
"18/12/2023","18:00",.686
"18/12/2023","18:15",.928
"18/12/2023","18:30",.888
"18/12/2023","18:45",.826
"18/12/2023","19:00",1.079
"18/12/2023","19:15",.587
"18/12/2023","19:30",.087
"18/12/2023","19:45",.081
"18/12/2023","20:00",.08
"18/12/2023","20:15",.065
"18/12/2023","20:30",.063
"18/12/2023","20:45",.089
"18/12/2023","21:00",.091
"18/12/2023","21:15",.091
"18/12/2023","21:30",.104
"18/12/2023","21:45",.077
"18/12/2023","22:00",.085
"18/12/2023","22:15",.106
"18/12/2023","22:30",.105
"18/12/2023","22:45",.094
"18/12/2023","23:00",.105
"18/12/2023","23:15",.086
"18/12/2023","23:30",.051
"18/12/2023","23:45",.043
"19/12/2023","00:00",.064
"19/12/2023","00:15",.064
"19/12/2023","00:30",.051
"19/12/2023","00:45",.041
"19/12/2023","01:00",.054
"19/12/2023","01:15",.054
"19/12/2023","01:30",.051
"19/12/2023","01:45",.042
"19/12/2023","02:00",.054
"19/12/2023","02:15",.055
"19/12/2023","02:30",.051
"19/12/2023","02:45",.041
"19/12/2023","03:00",.061
"19/12/2023","03:15",.066
"19/12/2023","03:30",.048
"19/12/2023","03:45",.044
"19/12/2023","04:00",.055
"19/12/2023","04:15",.055
"19/12/2023","04:30",.048
"19/12/2023","04:45",.043
"19/12/2023","05:00",.054
"19/12/2023","05:15",.055
"19/12/2023","05:30",.06
"19/12/2023","05:45",.062
"19/12/2023","06:00",.133
"19/12/2023","06:15",.805
"19/12/2023","06:30",.85
"19/12/2023","06:45",.143
"19/12/2023","07:00",.801
"19/12/2023","07:15",.193
"19/12/2023","07:30",.128
"19/12/2023","07:45",.073
"19/12/2023","08:00",.05
"19/12/2023","08:15",.051
"19/12/2023","08:30",.042
"19/12/2023","08:45",.053
"19/12/2023","09:00",.056
"19/12/2023","09:15",.053
"19/12/2023","09:30",.049
"19/12/2023","09:45",.05
"19/12/2023","10:00",.079
"19/12/2023","10:15",.081
"19/12/2023","10:30",.084
"19/12/2023","10:45",.241
"19/12/2023","11:00",.285
"19/12/2023","11:15",.13
"19/12/2023","11:30",.399
"19/12/2023","11:45",.916
"19/12/2023","12:00",.981
"19/12/2023","12:15",.398
"19/12/2023","12:30",.312
"19/12/2023","12:45",.267
"19/12/2023","13:00",.09
"19/12/2023","13:15",.048
"19/12/2023","13:30",.242
"19/12/2023","13:45",.288
"19/12/2023","14:00",.255
"19/12/2023","14:15",.165
"19/12/2023","14:30",.165
"19/12/2023","14:45",.201
"19/12/2023","15:00",.134
"19/12/2023","15:15",.09
"19/12/2023","15:30",.088
"19/12/2023","15:45",.09
"19/12/2023","16:00",.076
"19/12/2023","16:15",.085
"19/12/2023","16:30",.172
"19/12/2023","16:45",.117
"19/12/2023","17:00",.09
"19/12/2023","17:15",.096
"19/12/2023","17:30",.131
"19/12/2023","17:45",.185
"19/12/2023","18:00",.418
"19/12/2023","18:15",.149
"19/12/2023","18:30",.129
"19/12/2023","18:45",.151
"19/12/2023","19:00",.15
"19/12/2023","19:15",.154
"19/12/2023","19:30",.129
"19/12/2023","19:45",.096
"19/12/2023","20:00",.184
"19/12/2023","20:15",.795
"19/12/2023","20:30",.791
"19/12/2023","20:45",.796
"19/12/2023","21:00",.859
"19/12/2023","21:15",.862
"19/12/2023","21:30",.744
"19/12/2023","21:45",1.144
"19/12/2023","22:00",.663
"19/12/2023","22:15",.133
"19/12/2023","22:30",.087
"19/12/2023","22:45",.389
"19/12/2023","23:00",.343
"19/12/2023","23:15",.076
"19/12/2023","23:30",.089
"19/12/2023","23:45",.294
"20/12/2023","00:00",.291
"20/12/2023","00:15",.056
"20/12/2023","00:30",.038
"20/12/2023","00:45",.042
"20/12/2023","01:00",.053
"20/12/2023","01:15",.053
"20/12/2023","01:30",.056
"20/12/2023","01:45",.037
"20/12/2023","02:00",.053
"20/12/2023","02:15",.056
"20/12/2023","02:30",.052
"20/12/2023","02:45",.041
"20/12/2023","03:00",.045
"20/12/2023","03:15",.054
"20/12/2023","03:30",.054
"20/12/2023","03:45",.041
"20/12/2023","04:00",.052
"20/12/2023","04:15",.063
"20/12/2023","04:30",.053
"20/12/2023","04:45",.033
"20/12/2023","05:00",.043
"20/12/2023","05:15",.046
"20/12/2023","05:30",.052
"20/12/2023","05:45",.039
"20/12/2023","06:00",.056
"20/12/2023","06:15",.789
"20/12/2023","06:30",.852
"20/12/2023","06:45",.178
"20/12/2023","07:00",.128
"20/12/2023","07:15",.122
"20/12/2023","07:30",.091
"20/12/2023","07:45",.076
"20/12/2023","08:00",.074
"20/12/2023","08:15",.055
"20/12/2023","08:30",.043
"20/12/2023","08:45",.044
"20/12/2023","09:00",.031
"20/12/2023","09:15",.037
"20/12/2023","09:30",.048
"20/12/2023","09:45",.042
"20/12/2023","10:00",.03
"20/12/2023","10:15",.038
"20/12/2023","10:30",.057
"20/12/2023","10:45",.052
"20/12/2023","11:00",.035
"20/12/2023","11:15",.04
"20/12/2023","11:30",.043
"20/12/2023","11:45",.044
"20/12/2023","12:00",.037
"20/12/2023","12:15",.044
"20/12/2023","12:30",.05
"20/12/2023","12:45",.047
"20/12/2023","13:00",.031
"20/12/2023","13:15",.04
"20/12/2023","13:30",.06
"20/12/2023","13:45",.048
"20/12/2023","14:00",.033
"20/12/2023","14:15",.037
"20/12/2023","14:30",.046
"20/12/2023","14:45",.045
